ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35620,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,38660,ADJUNTAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00602,10380,AGUADA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00603,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00604,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,99999,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,10380,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,10380,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,11640,ARECIBO,PR,0.995220977,0.999196787,0.997014925,0.995635143
00612,10380,ARECIBO,PR,0.000930429,0.000401606,0.002985075,0.000932662
00612,41980,ARECIBO,PR,0.003848594,0.000401606,0.000000000,0.003432195
00613,11640,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,11640,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,11640,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,41980,BARCELONETA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00622,41900,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,41900,CABO ROJO,PR,0.999171711,1.000000000,1.000000000,0.999227340
00623,32420,CABO ROJO,PR,0.000828289,0.000000000,0.000000000,0.000772660
00624,49500,PENUELAS,PR,0.998938851,1.000000000,1.000000000,0.998996614
00624,38660,PENUELAS,PR,0.001061149,0.000000000,0.000000000,0.001003386
00627,11640,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,10380,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,41900,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,41980,CIALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00641,38660,UTUADO,PR,0.027617017,0.004665630,0.288235294,0.030388295
00641,10380,UTUADO,PR,0.972382983,0.995334370,0.711764706,0.969611705
00646,41980,DORADO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00647,41900,ENSENADA,PR,0.008302319,0.000000000,0.000000000,0.008046615
00647,49500,ENSENADA,PR,0.991697681,1.000000000,1.000000000,0.991953385
00650,11640,FLORIDA,PR,0.139644541,0.006250000,0.172413793,0.136068736
00650,41980,FLORIDA,PR,0.860355459,0.993750000,0.827586207,0.863931264
00652,11640,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,49500,GUANICA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00656,49500,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,11640,HATILLO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00660,32420,HORMIGUEROS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00662,11640,ISABELA,PR,0.001124629,0.000734754,0.000000000,0.001085520
00662,10380,ISABELA,PR,0.998875371,0.999265246,1.000000000,0.998914480
00664,27580,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,41900,LAJAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00669,10380,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,32420,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,41980,MANATI,PR,1.000000000,1.000000000,1.000000000,1.000000000
00676,10380,MOCA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00677,10380,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,11640,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,32420,MAYAGUEZ,PR,0.999952658,0.999619772,1.000000000,0.999919695
00680,41900,MAYAGUEZ,PR,0.000000000,0.000380228,0.000000000,0.000040153
00680,10380,MAYAGUEZ,PR,0.000047342,0.000000000,0.000000000,0.000040153
00681,32420,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,32420,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,41900,SAN GERMAN,PR,0.989311537,0.997757848,0.992094862,0.989905545
00683,32420,SAN GERMAN,PR,0.010688463,0.002242152,0.007905138,0.010094455
00685,10380,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,41980,MOROVIS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00688,11640,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,10380,SAN ANTONIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00692,41980,VEGA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00693,41980,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00694,41980,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00698,49500,YAUCO,PR,0.998543601,1.000000000,1.000000000,0.998656365
00698,41900,YAUCO,PR,0.001456399,0.000000000,0.000000000,0.001343635
00703,41980,AGUAS BUENAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00704,17640,AGUIRRE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00705,41980,AIBONITO,PR,0.998713661,1.000000000,1.000000000,0.998855180
00705,17620,AIBONITO,PR,0.001286339,0.000000000,0.000000000,0.001144820
00707,41980,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,25020,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,38660,MERCEDITA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00716,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00717,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,NARANJITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00720,41980,OROCOVIS,PR,0.893411176,0.975460123,1.000000000,0.898969394
00720,38660,OROCOVIS,PR,0.106588824,0.024539877,0.000000000,0.101030606
00721,41980,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,41980,PATILLAS,PR,0.163064516,0.006269592,0.000000000,0.153647808
00723,25020,PATILLAS,PR,0.836935484,0.993730408,1.000000000,0.846352192
00725,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00726,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,CANOVANAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
